,num_suppressed_records,num_records,max_group_size,avg_group_size,k,l,t,perc_recs,c_avg,bagging_acc,random_forest_acc,boosting_acc,bagging_auc,random_forest_auc,boosting_auc,bagging_prec,random_forest_prec,boosting_prec,bagging_recl,random_forest_recl,boosting_recl,bagging_f1,random_forest_f1,boosting_f1
"k: 5, clustering: agglomerative,  embedding: jinaai-jina-embeddings-v2-base-en",2044,30517,1714,85.72191011235955,5,2,0.7046501793691884,0.93722551518688,17.14438202247191,0.8352681039248203,0.8291873963515755,0.8420244456728703,0.6693750717459337,0.6650351876559984,0.6917572939347006,0.8716475095785441,0.8213639106819554,0.8432112068965517,0.3549141965678627,0.3538741549661987,0.40691627665106606,0.5044345898004434,0.4946392876612757,0.5489301999298493
"k: 5, clustering: agglomerative,  embedding: fasttext",2235,30326,2066,85.42535211267605,5,2,0.7401716729488279,0.9313596019778262,17.08507042253521,0.8374178490264725,0.831459984030465,0.8355752103679135,0.6800313894341057,0.6743351857114092,0.7051353779121008,0.8451352907311457,0.8071348940914158,0.7484062898427539,0.38169526781071245,0.3764950598023921,0.4578783151326053,0.5258821422174458,0.5134751773049646,0.5681561542184222
"k: 5, clustering: agglomerative,  embedding: average_word_embeddings_komninos",1965,30596,1431,94.72445820433437,5,2,0.7063684017207355,0.9396517305979546,18.944891640866874,0.8354523677906762,0.8308457711442786,0.8385848535102266,0.6779365336253981,0.6707902308854718,0.7007300991677786,0.8332381496287835,0.8148788927335641,0.7816836262719704,0.3793551742069683,0.3673946957878315,0.43941757670306814,0.5213507236019296,0.5064516129032258,0.5625832223701731
"k: 5, clustering: agglomerative,  embedding: average_word_embeddings_levy_dependency",2255,30306,1445,105.59581881533101,5,2,0.6548010294991091,0.930745370228187,21.1191637630662,0.8344696271727781,0.8289417111971009,0.8396290154167434,0.6706482758707212,0.6716090597785552,0.7002463041826861,0.8554663372452131,0.792932081722805,0.7914110429447853,0.36011440457618304,0.3733749349973999,0.4360374414976599,0.5068618481244281,0.5076895881209121,0.5622799664710812
"k: 5, clustering: agglomerative,  embedding: average_word_embeddings_glove.840B.300d",1726,30835,1423,89.11849710982659,5,2,0.7103424384922683,0.9469918000061424,17.82369942196532,0.8353909465020576,0.8304158221239482,0.8308457711442786,0.6757412178272414,0.6669169227565244,0.6955739580608555,0.8421361502347418,0.8266104756170981,0.7388451443569554,0.37311492459698387,0.35699427977119086,0.4391575663026521,0.5171171171171172,0.4986380969674959,0.550880626223092
"k: 10, clustering: kmeans,  embedding: BERT",3277,29284,2021,150.17435897435897,10,2,0.7415816460550786,0.899358127821627,15.017435897435897,0.8340396781524476,0.8202813095018734,0.7892021374608439,0.6859015398010371,0.7070661982088451,0.7098877972006697,0.7900608519269777,0.6603905160390516,0.5532133676092545,0.4050962038481539,0.4924596983879355,0.5595423816952678,0.5355792368511516,0.5641942210306822,0.5563598759048604
"k: 10, clustering: kmeans,  embedding: word2vec",1897,30664,1416,124.65040650406505,10,2,0.7094576547028935,0.9417401185467277,12.465040650406504,0.8367422148516676,0.8311528775873718,0.840366070880167,0.6787809244577261,0.6847300816037467,0.7052186188774451,0.8433526011560694,0.7695331695331695,0.7825101948346171,0.3793551742069683,0.40717628705148207,0.44903796151846076,0.5233142037302726,0.5325624893725557,0.5706261358004295
"k: 10, clustering: kmeans,  embedding: average_word_embeddings_glove.6B.300d",2240,30321,1416,143.02358490566039,10,2,0.7122173693856686,0.9312060440404164,14.302358490566037,0.8369264787175235,0.8302315582580923,0.839199066396413,0.6779137944769902,0.6825106152617637,0.6973607532962356,0.849266862170088,0.7686196623634558,0.7969052224371374,0.3764950598023921,0.40249609984399376,0.4284971398855954,0.521707800396325,0.5283276450511946,0.5573216097396009
"k: 10, clustering: kmeans,  embedding: msmarco-bert-base-dot-v5",2026,30535,1416,125.65843621399176,10,2,0.6866655750231975,0.9377783237615552,12.565843621399177,0.8278975492905841,0.8283274983109146,0.8334868865548799,0.6419213608110067,0.6560314258167431,0.6593191930331013,0.9416243654822335,0.8543492919757248,0.9062276306370795,0.28939157566302653,0.3294331773270931,0.3291731669266771,0.4427207637231503,0.47551135297429165,0.4829296204463093
"k: 10, clustering: kmeans,  embedding: multi-qa-mpnet-base-dot-v1",1645,30916,1416,122.68253968253968,10,2,0.7110496029178912,0.9494794385921809,12.268253968253969,0.8364351084085744,0.8306000859898041,0.8400589644370738,0.6816329468619036,0.6798783941707488,0.7021440978266392,0.8280643372157516,0.779835390946502,0.7891061452513967,0.38819552782111283,0.39417576703068125,0.4407176287051482,0.5285891308196141,0.5236614853195165,0.5655655655655656
